Sample,Size (mm),Type,Color,Number
EM22-01,2.5 - 5,Line,Blue,1
EM22-01,1 - 2.5,Fragment,White,4
EM22-02,>5,Fragment,Grey,4
EM22-02,>5,Fragment,Blue,1
EM22-02,>5,Fragment,Green,1
EM22-02,>5,Fragment,White,6
EM22-02,>5,Fragment,Red,1
EM22-02,>5,Fragment,Transparent,3
EM22-02,>5,Film,White,1
EM22-02,>5,Film,Transparent,7
EM22-02,>5,Line,Green,3
EM22-02,>5,Line,White,1
EM22-02,>5,Line,Red,1
EM22-02,>5,Line,Transparent,1
EM22-02,>5,Foam,White,2
EM22-02,2.5 - 5,Fragment,Black,2
EM22-02,2.5 - 5,Fragment,green,1
EM22-02,2.5 - 5,Fragment,White,3
EM22-02,2.5 - 5,Fragment,Yellow,1
EM22-02,2.5 - 5,Fragment,Transparent,2
EM22-02,2.5 - 5,Film,Blue,1
EM22-02,2.5 - 5,Film,White,1
EM22-02,2.5 - 5,Film,Transparent,4
EM22-02,2.5 - 5,Line,Green,1
EM22-02,1 - 2.5,Fragment,Grey,5
EM22-02,1 - 2.5,Fragment,Blue,6
EM22-02,1 - 2.5,Fragment,green,2
EM22-02,1 - 2.5,Fragment,White,30
EM22-02,1 - 2.5,Fragment,Yellow,2
EM22-02,1 - 2.5,Fragment,Orange,2
EM22-02,1 - 2.5,Fragment,Transparent,36
EM22-02,1 - 2.5,Film,Grey,9
EM22-02,1 - 2.5,Film,Blue,1
EM22-02,1 - 2.5,Film,White,3
EM22-02,1 - 2.5,Film,Orange,1
EM22-02,1 - 2.5,Film,Transparent,22
EM22-02,1 - 2.5,Line,Orange,1
EM22-03,>5,Fragment,Green,1
EM22-03,>5,Fragment,Transparent,1
EM22-03,>5,Film,Transparent,2
EM22-03,>5,Line,White,2
EM22-03,2.5 - 5,Fragment,Green,1
EM22-03,2.5 - 5,Fragment,White,4
EM22-03,2.5 - 5,Fragment,Transparent,1
EM22-03,2.5 - 5,Film,Transparent,3
EM22-03,1 - 2.5,Fragment,Black,1
EM22-03,1 - 2.5,Fragment,Blue,2
EM22-03,1 - 2.5,Fragment,White,9
EM22-03,1 - 2.5,Fragment,Transparent,4
EM22-04,>5,Fragment,Green,1
EM22-04,>5,Fragment,White,2
EM22-04,>5,Fragment,Transparent,2
EM22-04,>5,Film,Transparent,2
EM22-04,>5,Line,White,3
EM22-04,>5,Line,Yellow,1
EM22-04,2.5 - 5,Fragment,Transparent,3
EM22-04,2.5 - 5,Film,Transparent,4
EM22-04,2.5 - 5,Line,White,1
EM22-04,1 - 2.5,Fragment,Black,3
EM22-04,1 - 2.5,Fragment,Blue,2
EM22-04,1 - 2.5,Fragment,Green,1
EM22-04,1 - 2.5,Fragment,White,8
EM22-04,1 - 2.5,Fragment,Yellow,3
EM22-04,1 - 2.5,Fragment,Transparent,12
EM22-04,1 - 2.5,Film,Transparent,1
EM22-04,1 - 2.5,Line,White,1
EM22-05,>5,Fragment,Black,3
EM22-05,>5,Fragment,White,10
EM22-05,>5,Fragment,Orange,1
EM22-05,>5,Fragment,Transparent,2
EM22-05,>5,Film,Black,1
EM22-05,>5,Film,Blue,1
EM22-05,>5,Film,Green,1
EM22-05,>5,Film,White,12
EM22-05,>5,Film,Transparent,38
EM22-05,>5,Line,Black,3
EM22-05,>5,Line,Blue,2
EM22-05,>5,Line,green,4
EM22-05,>5,Line,White,3
EM22-05,>5,Line,Orange,1
EM22-05,>5,Line,Transparent,3
EM22-05,>5,Line,Multicolor,1
EM22-05,2.5 - 5,Fragment,Black,6
EM22-05,2.5 - 5,Fragment,Blue,4
EM22-05,2.5 - 5,Fragment,White,7
EM22-05,2.5 - 5,Fragment,Yellow,1
EM22-05,2.5 - 5,Fragment,Transparent,12
EM22-05,2.5 - 5,Film,Blue,1
EM22-05,2.5 - 5,Film,White,8
EM22-05,2.5 - 5,Film,Transparent,47
EM22-05,2.5 - 5,Line,Blue,1
EM22-05,2.5 - 5,Line,Green,2
EM22-05,2.5 - 5,Line,White,3
EM22-05,2.5 - 5,Line,Orange,1
EM22-05,2.5 - 5,Line,Transparent,3
EM22-05,2.5 - 5,ESP,White,1
EM22-05,1 - 2.5,Fragment,Black,14
EM22-05,1 - 2.5,Fragment,Blue,5
EM22-05,1 - 2.5,Fragment,Green,2
EM22-05,1 - 2.5,Fragment,White,53
EM22-05,1 - 2.5,Fragment,Yellow,2
EM22-05,1 - 2.5,Fragment,Orange,1
EM22-05,1 - 2.5,Fragment,Transparent,33
EM22-05,1 - 2.5,Film,Blue,1
EM22-05,1 - 2.5,Film,White,13
EM22-05,1 - 2.5,Film,Transparent,40
EM22-05,1 - 2.5,Film,Multicolor,1
EM22-05,1 - 2.5,Line,Black,1
EM22-05,1 - 2.5,Line,Blue,1
EM22-05,1 - 2.5,Line,Green,1
EM22-05,1 - 2.5,Line,White,1
EM22-05,1 - 2.5,Line,Transparent,1
EM22-06,>5,Fragment,White,3
EM22-06,>5,Fragment,Orange,1
EM22-06,>5,Film,Transparent,5
EM22-06,>5,Line,Blue,1
EM22-06,>5,Line,Transparent,5
EM22-06,2.5 - 5,Fragment,Black,3
EM22-06,2.5 - 5,Fragment,Green,1
EM22-06,2.5 - 5,Fragment,White,6
EM22-06,2.5 - 5,Fragment,Yellow,2
EM22-06,2.5 - 5,Fragment,Transparent,11
EM22-06,2.5 - 5,Film,Black,2
EM22-06,2.5 - 5,Film,White,1
EM22-06,2.5 - 5,Film,Yellow,1
EM22-06,2.5 - 5,Film,Transparent,6
EM22-06,2.5 - 5,Line,Black,2
EM22-06,2.5 - 5,Line,Blue,1
EM22-06,2.5 - 5,Line,Green,3
EM22-06,2.5 - 5,Line,White,1
EM22-06,2.5 - 5,Line,Transparent,5
EM22-06,1 - 2.5,Fragment,Black,29
EM22-06,1 - 2.5,Fragment,Blue,16
EM22-06,1 - 2.5,Fragment,green,1
EM22-06,1 - 2.5,Fragment,Brown,5
EM22-06,1 - 2.5,Fragment,White,53
EM22-06,1 - 2.5,Fragment,Yellow,3
EM22-06,1 - 2.5,Fragment,Transparent,126
EM22-06,1 - 2.5,Film,Black,1
EM22-06,1 - 2.5,Film,White,1
EM22-06,1 - 2.5,Film,Transparent,8
EM22-06,1 - 2.5,Line,Blue,2
EM22-06,1 - 2.5,Line,White,3
EM22-06,1 - 2.5,Line,Transparent,3
EM22-06,1 - 2.5,ESP,Black,1
EM22-06,1 - 2.5,ESP,White,2
EM22-06,1 - 2.5,Pellet,White,1
EM22-07,>5,Fragment,Black,3
EM22-07,>5,Fragment,White,5
EM22-07,>5,Fragment,Transparent,1
EM22-07,>5,Film,Black,1
EM22-07,>5,Film,White,1
EM22-07,>5,Film,Orange,1
EM22-07,"2,5 - 5",Fragment,Black,3
EM22-07,"2,5 - 5",Fragment,Green,1
EM22-07,"2,5 - 5",Fragment,Transparent,7
EM22-07,"2,5 - 5",Film,White,1
EM22-07,"2,5 - 5",Film,Transparent,9
EM22-07,"2,5 - 5",Line,Green,2
EM22-07,"1 - 2,5",Fragment,Black,6
EM22-07,"1 - 2,5",Fragment,Blue,5
EM22-07,"1 - 2,5",Fragment,Green,1
EM22-07,"1 - 2,5",Fragment,White,27
EM22-07,"1 - 2,5",Fragment,Orange,1
EM22-07,"1 - 2,5",Fragment,Transparent,24
EM22-07,"1 - 2,5",Film,Transparent,3
EM22-07,"1 - 2,5",Line,Transparent,1
EM22-08,>5,Fragment,Black,1
EM22-08,>5,Fragment,Blue,1
EM22-08,>5,Fragment,White,5
EM22-08,>5,Fragment,Transparent,1
EM22-08,>5,Film,White,1
EM22-08,>5,Film,Transparent,3
EM22-08,>5,Line,Black,1
EM22-08,>5,Line,Blue,3
EM22-08,>5,Line,Green,4
EM22-08,>5,Line,White,5
EM22-08,>5,Line,Transparent,1
EM22-08,"2,5 - 5",Fragment,Black,1
EM22-08,"2,5 - 5",Fragment,green,2
EM22-08,"2,5 - 5",Fragment,Brown,2
EM22-08,"2,5 - 5",Fragment,White,7
EM22-08,"2,5 - 5",Fragment,Transparent,5
EM22-08,"2,5 - 5",Film,White,2
EM22-08,"2,5 - 5",Film,Transparent,4
EM22-08,"2,5 - 5",Line,Black,1
EM22-08,"2,5 - 5",Line,Green,1
EM22-08,"2,5 - 5",Line,Transparent,2
EM22-08,"2,5 - 5",Pellet,Yellow,1
EM22-08,"2,5 - 5",Pellet,Transparent,1
EM22-08,"1 - 2,5",Fragment,Black,9
EM22-08,"1 - 2,5",Fragment,Blue,12
EM22-08,"1 - 2,5",Fragment,Green,7
EM22-08,"1 - 2,5",Fragment,Brown,1
EM22-08,"1 - 2,5",Fragment,White,30
EM22-08,"1 - 2,5",Fragment,Orange,1
EM22-08,"1 - 2,5",Fragment,Transparent,30
EM22-08,"1 - 2,5",Film,Blue,2
EM22-08,"1 - 2,5",Film,White,1
EM22-08,"1 - 2,5",Film,Transparent,6
EM22-08,"1 - 2,5",Line,Black,1
EM22-08,"1 - 2,5",Line,Blue,2
EM22-08,"1 - 2,5",Line,White,4
EM22-08,"1 - 2,5",Line,Transparent,1
EM22-08,"1 - 2,5",ESP,White,1
EM22-09,>5,Fragment,Orange,1
EM22-09,>5,Fragment,Transparent,1
EM22-09,>5,Film,White,1
EM22-09,>5,Film,Transparent,3
EM22-09,>5,Line,Blue,1
EM22-09,>5,Line,Green,1
EM22-09,>5,Line,White,1
EM22-09,>5,Line,Transparent,1
EM22-09,"2,5 - 5",Fragment,Black,3
EM22-09,"2,5 - 5",Fragment,Brown,1
EM22-09,"2,5 - 5",Fragment,White,1
EM22-09,"2,5 - 5",Fragment,Transparent,2
EM22-09,"2,5 - 5",Film,Transparent,5
EM22-09,"2,5 - 5",Line,Black,1
EM22-09,"2,5 - 5",Line,green,1
EM22-09,"2,5 - 5",Line,White,1
EM22-09,"1 - 2,5",Fragment,Black,4
EM22-09,"1 - 2,5",Fragment,Blue,6
EM22-09,"1 - 2,5",Fragment,Green,1
EM22-09,"1 - 2,5",Fragment,White,8
EM22-09,"1 - 2,5",Fragment,Yellow,1
EM22-09,"1 - 2,5",Fragment,Orange,1
EM22-09,"1 - 2,5",Fragment,Transparent,17
EM22-09,"1 - 2,5",Film,Transparent,4
EM22-09,"1 - 2,5",Line,Blue,1
EM22-09,"1 - 2,5",Line,Transparent,1
EM22-10,> 5,Film,Transparent,5
EM22-10,2.5 - 5,Fragment,Black,1
EM22-10,2.5 - 5,Fragment,White,1
EM22-10,2.5 - 5,Fragment,Yellow,1
EM22-10,2.5 - 5,Film,Transparent,6
EM22-10,2.5 - 5,Line,Transparent,1
EM22-10,1 - 2.5,Fragment,Black,1
EM22-10,1 - 2.5,Fragment,Blue,1
EM22-10,1 - 2.5,Fragment,White,3
EM22-10,1 - 2.5,Fragment,Transparent,2
EM22-10,1 - 2.5,Fragment,Pink,1
EM22-10,1 - 2.5,Film,Transparent,3
EM22-10,1 - 2.5,Line,Black,1
EM22-10,1 - 2.5,Line,Transparent,3
EM22-11,> 5,Fragment,Transparent,2
EM22-11,> 5,Film,White,1
EM22-11,> 5,Line,Black,2
EM22-11,> 5,Line,Blue,1
EM22-11,> 5,Line,Transparent,1
EM22-11,2.5 - 5,Fragment,Transparent,1
EM22-11,2.5 - 5,Film,White,1
EM22-11,1 - 2.5,Fragment,Black,2
EM22-11,1 - 2.5,Fragment,Green,1
EM22-11,1 - 2.5,Fragment,White,5
EM22-11,1 - 2.5,Fragment,Yellow,1
EM22-11,1 - 2.5,Fragment,Transparent,3
EM22-11,1 - 2.5,Film,White,1
EM22-11,1 - 2.5,Film,Transparent,2
EM22-11,1 - 2.5,Line,Blue,3
EM22-11,1 - 2.5,Line,White,1
EM22-11,1 - 2.5,Line,Transparent,4
EM22-12,>5,Line,Black,1
EM22-12,>5,Line,Blue,2
EM22-12,>5,Line,Green,1
EM22-12,>5,Line,White,1
EM22-12,>5,Line,Transparent,7
EM22-12,>5,Fragment,Transparent,17
EM22-12,>5,Fragment,White,3
EM22-12,>5,Film,Transparent,12
EM22-12,>5,Pellet,White,1
EM22-12,2.5 - 5,Fragment,Black,4
EM22-12,2.5 - 5,Fragment,Blue,3
EM22-12,2.5 - 5,Fragment,Green,3
EM22-12,2.5 - 5,Fragment,White,9
EM22-12,2.5 - 5,Fragment,Orange,1
EM22-12,2.5 - 5,Fragment,Transparent,28
EM22-12,2.5 - 5,Film,White,2
EM22-12,2.5 - 5,Film,Orange,1
EM22-12,2.5 - 5,Film,Transparent,36
EM22-12,2.5 - 5,Line,Green,2
EM22-12,2.5 - 5,Line,White,5
EM22-12,2.5 - 5,Line,Transparent,3
EM22-12,2.5 - 5,Pellet,White,1
EM22-12,1 - 2.5,Fragment,Black,24
EM22-12,1 - 2.5,Fragment,Blue,17
EM22-12,1 - 2.5,Fragment,Green,9
EM22-12,1 - 2.5,Fragment,White,58
EM22-12,1 - 2.5,Fragment,Yellow,7
EM22-12,1 - 2.5,Fragment,Orange,7
EM22-12,1 - 2.5,Fragment,Transparent,115
EM22-12,1 - 2.5,Film,Blue,1
EM22-12,1 - 2.5,Film,White,1
EM22-12,1 - 2.5,Film,Transparent,28
EM22-12,1 - 2.5,Line,Blue,1
EM22-12,1 - 2.5,Line,Green,2
EM22-12,1 - 2.5,Line,White,4
EM22-12,1 - 2.5,Line,Yellow,2
EM22-12,1 - 2.5,Line,Transparent,8
EM22-13,> 5,Fragment,Black,1
EM22-13,> 5,Fragment,Blue,2
EM22-13,> 5,Fragment,Green,1
EM22-13,> 5,Fragment,White,4
EM22-13,> 5,Fragment,Transparent,5
EM22-13,> 5,Film,Blue,1
EM22-13,> 5,Film,White,1
EM22-13,> 5,Film,Transparent,19
EM22-13,> 5,Line,Black,2
EM22-13,> 5,Line,Blue,1
EM22-13,> 5,Line,Green,7
EM22-13,> 5,Line,Orange,2
EM22-13,> 5,Line,Transparent,8
EM22-13,2.5 - 5,Fragment,Black,8
EM22-13,2.5 - 5,Fragment,Blue,2
EM22-13,2.5 - 5,Fragment,green,3
EM22-13,2.5 - 5,Fragment,White,17
EM22-13,2.5 - 5,Fragment,Transparent,31
EM22-13,2.5 - 5,Film,Black,2
EM22-13,2.5 - 5,Film,Transparent,34
EM22-13,2.5 - 5,Line,Black,3
EM22-13,2.5 - 5,Line,green,18
EM22-13,2.5 - 5,Line,White,1
EM22-13,2.5 - 5,Line,Transparent,3
EM22-13,1 - 2.5,Fragment,Black,35
EM22-13,1 - 2.5,Fragment,Blue,16
EM22-13,1 - 2.5,Fragment,Green,6
EM22-13,1 - 2.5,Fragment,White,92
EM22-13,1 - 2.5,Fragment,Yellow,5
EM22-13,1 - 2.5,Fragment,Orange,5
EM22-13,1 - 2.5,Fragment,Transparent,123
EM22-13,1 - 2.5,Film,Black,6
EM22-13,1 - 2.5,Film,Blue,1
EM22-13,1 - 2.5,Film,Green,1
EM22-13,1 - 2.5,Film,White,5
EM22-13,1 - 2.5,Film,Yellow,1
EM22-13,1 - 2.5,Film,Transparent,57
EM22-13,1 - 2.5,Line,Black,2
EM22-13,1 - 2.5,Line,Blue,5
EM22-13,1 - 2.5,Line,green,1
EM22-13,1 - 2.5,Line,White,1
EM22-13,1 - 2.5,Line,Orange,1
EM22-13,1 - 2.5,Line,Transparent,5
EM22-13,1 - 2.5,Pellet,Transparent,1
EM22-15,> 5,Fragment,White,1
EM22-15,> 5,Film,Transparent,3
EM22-15,2.5 - 5 ,Fragment,Orange,1
EM22-15,2.5 - 5 ,Film,Transparent,3
EM22-15,2.5 - 5 ,Line,Green,1
EM22-15,2.5 - 5 ,Line,Transparent,1
EM22-15,1 - 2.5,Fragment,Black,4
EM22-15,1 - 2.5,Fragment,Blue,1
EM22-15,1 - 2.5,Fragment,White,3
EM22-15,1 - 2.5,Fragment,Transparent,3
EM22-15,1 - 2.5,Film,Transparent,2
EM22-15,1 - 2.5,Line,Blue,1
EM22-16,> 5,Fragment,White,1
EM22-16,> 5,Film,Transparent,3
EM22-16,2.5 - 5,Fragment,Green,2
EM22-16,2.5 - 5,Fragment,White,2
EM22-16,2.5 - 5,Fragment,Transparent,1
EM22-16,2.5 - 5,Film,Transparent,1
EM22-16,1 - 2.5,Fragment,Black,5
EM22-16,1 - 2.5,Fragment,Blue,1
EM22-16,1 - 2.5,Fragment,White,6
EM22-16,1 - 2.5,Fragment,Orange,2
EM22-16,1 - 2.5,Fragment,Transparent,12
EM22-16,1 - 2.5,Film,White,1
EM22-16,1 - 2.5,Film,Line,1
EM22-16,1 - 2.5,Film,Transparent,1
EM22-16,1 - 2.5,ESP,White,2
EM22-17,> 5,Fragment,Black,1
EM22-17,> 5,Fragment,Blue,1
EM22-17,> 5,Fragment,White,3
EM22-17,> 5,Film,Black,2
EM22-17,> 5,Film,Green,2
EM22-17,> 5,Film,White,4
EM22-17,> 5,Film,Transparent,10
EM22-17,> 5,Line,Black,2
EM22-17,> 5,Line,Green,2
EM22-17,> 5,Line,White,4
EM22-17,> 5,Line,Orange,1
EM22-17,> 5,Line,Transparent,3
EM22-17,2.5 - 5,Fragment,Blue,2
EM22-17,2.5 - 5,Fragment,Green,1
EM22-17,2.5 - 5,Fragment,White,6
EM22-17,2.5 - 5,Fragment,Transparent,4
EM22-17,2.5 - 5,Film,White,2
EM22-17,2.5 - 5,Film,Orange,1
EM22-17,2.5 - 5,Film,Transparent,10
EM22-17,2.5 - 5,ESP,White,1
EM22-17,1 - 2.5,Fragment,Black,6
EM22-17,1 - 2.5,Fragment,Blue,9
EM22-17,1 - 2.5,Fragment,Green,9
EM22-17,1 - 2.5,Fragment,White,32
EM22-17,1 - 2.5,Fragment,Yellow,2
EM22-17,1 - 2.5,Fragment,Orange,5
EM22-17,1 - 2.5,Fragment,Transparent,38
EM22-17,1 - 2.5,Film,Green,1
EM22-17,1 - 2.5,Film,White,2
EM22-17,1 - 2.5,Film,Transparent,12
EM22-17,1 - 2.5,Line,Blue,1
EM22-17,1 - 2.5,Line,White,1
EM22-17,1 - 2.5,ESP,White,1
EM22-18,> 5,Film,White,1
EM22-18,> 5,Film,Transparent,1
EM22-18,2.5 - 5,Fragment,Black,1
EM22-18,2.5 - 5,Fragment,White,1
EM22-18,2.5 - 5,Fragment,Transparent,2
EM22-18,2.5 - 5,Film,White,1
EM22-18,2.5 - 5,Film,Orange,1
EM22-18,2.5 - 5,Line,White,1
EM22-18,2.5 - 5,ESP,White,1
EM22-18,1 - 2.5,Fragment,Black,7
EM22-18,1 - 2.5,Fragment,White,12
EM22-18,1 - 2.5,Fragment,Transparent,5
EM22-18,1 - 2.5,Fragment,Multicolor,1
EM22-18,1 - 2.5,Film,White,1
